,title,genre,overview,cast,director,lang,comp
41,The Hate U Give,"Crime, Drama","Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.",Amandla Stenberg Regina Hall Russell Hornsby Anthony Mackie,George Tillman Jr.,en,unknown
42,The Perfection,"Drama, Horror, Thriller","When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",Allison Williams Alaina Huffman Steven Weber Logan Browning,Richard Shepard,en,unknown
43,Life Itself,"Drama, Romance","As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.",Oscar Isaac Olivia Wilde Annette Bening Mandy Patinkin,Dan Fogelman,en,unknown
44,If Beale Street Could Talk,"Drama, Romance",A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.,KiKi Layne Stephan James Regina King Teyonah Parris,Barry Jenkins,en,unknown
45,The Commuter,"Action, Mystery, Thriller",An action-thriller in which an insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.,Liam Neeson Vera Farmiga Patrick Wilson Jonathan Banks,Jaume Collet-Serra,en,unknown
46,Set It Up,"Comedy, Romance",Two corporate executive assistants hatch a plan to match-make their two bosses.,Zoey Deutch Glen Powell Lucy Liu Taye Diggs,Claire Scanlon,en,unknown
47,Greta,"Drama, Mystery, Thriller",A young woman befriends a lonely widow who's harboring a dark and deadly agenda toward her.,Isabelle Huppert Chloë Grace Moretz Maika Monroe Jane Perry,Neil Jordan,en,unknown
48,How It Ends,"Action, Adventure, Drama",A desperate man tries to return home to his pregnant fiancée after a mysterious apocalyptic event turns everything to chaos.,Theo James Kat Graham Nancy Sorel Nicole Ari Parker,David M. Rosenthal,en,unknown
49,Billionaire Boys Club,"Biography, Drama, Thriller",A group of wealthy boys in Los Angeles during the early 1980s establish a 'get-rich-quick' scam that turns deadly.,Ansel Elgort Kevin Spacey Taron Egerton Emma Roberts,James Cox,en,unknown
50,Midnight Sun,"Drama, Romance",A 17-year-old girl suffers from a condition that prevents her from being out in the sunlight.,Bella Thorne Patrick Schwarzenegger Rob Riggle Quinn Shephard,Scott Speer,en,unknown
51,Dumplin',"Comedy, Drama","Willowdean ('Dumplin'), the plus-size teenage daughter of a former beauty queen, signs up for her mom's Miss Teen Bluebonnet pageant as a protest that escalates when other contestants follow her footsteps, revolutionizing the pageant and their small Texas town.",Danielle Macdonald Jennifer Aniston Odeya Rush Maddie Baillio,Anne Fletcher,en,unknown
52,Little Italy,"Comedy, Romance","A young couple must navigate a blossoming romance, amidst a war between their families' competing pizza restaurants.",Emma Roberts Hayden Christensen Danny Aiello Andrea Martin,Donald Petrie,en,unknown
53,Insidious: The Last Key,"Horror, Mystery, Thriller","Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began.",Lin Shaye Leigh Whannell Angus Sampson Kirk Acevedo,Adam Robitel,en,unknown
54,London Fields,"Crime, Mystery, Thriller",Clairvoyant femme fatale Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men: one of whom she knows will be her murderer.,Amber Heard Cara Delevingne Theo James Jason Isaacs,Mathew Cullen,en,unknown
55,Terminal,"Crime, Drama, Thriller","A film noir taking place in a train terminal at night. Add 2 male assassins, female assassin, waitress, teacher, janitor and crime boss. Add revenge. Who says mystery is a lost art?",Margot Robbie Simon Pegg Dexter Fletcher Mike Myers,Vaughn Stein,en,unknown
56,Welcome Home,Thriller,"A couple spend a weekend at a vacation rental home in the Italian countryside in an attempt to repair their relationship, but soon become victims of the homeowner's sinister plans.",Emily Ratajkowski Aaron Paul Riccardo Scamarcio Katy Louise Saunders,George Ratliff,en,unknown
57,Her Smell,"Drama, Music",A self-destructive punk rocker struggles with sobriety while trying to recapture the creative inspiration that led her band to success.,Elisabeth Moss Cara Delevingne Dan Stevens Agyness Deyn,Alex Ross Perry,en,unknown
58,Galveston,"Action, Crime, Drama","After escaping a set up, a dying hitman returns to his hometown of Galveston where he plans his revenge.",Ben Foster Jeffrey Grover Christopher Amitrano Mark Hicks,Mélanie Laurent,en,unknown
