,title,genre,overview,cast,director,lang,comp
0,Kingsman: The Golden Circle,"Action, Adventure, Comedy","After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy.",Taron Egerton Colin Firth Mark Strong Channing Tatum,Matthew Vaughn,en,unknown
1,Blade Runner 2049,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Harrison Ford Ryan Gosling Ana de Armas Dave Bautista,Denis Villeneuve,en,unknown
2,Dunkirk,"Action, Drama, History","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Fionn Whitehead Barry Keoghan Mark Rylance Tom Hardy,Christopher Nolan,en,unknown
3,Thor: Ragnarok,"Action, Adventure, Comedy","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Chris Hemsworth Tom Hiddleston Cate Blanchett Mark Ruffalo,Taika Waititi,en,unknown
4,It,Horror,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Bill Skarsgård Jaeden Martell Finn Wolfhard Sophia Lillis,Andy Muschietti,en,unknown
5,Beauty and the Beast,"Family, Fantasy, Musical","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Emma Watson Dan Stevens Luke Evans Josh Gad,Bill Condon,en,unknown
6,Justice League,"Action, Adventure, Fantasy","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",Ben Affleck Gal Gadot Jason Momoa Ezra Miller,Zack Snyder,en,unknown
7,Get Out,"Horror, Mystery, Thriller","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Daniel Kaluuya Allison Williams Bradley Whitford Catherine Keener,Jordan Peele,en,unknown
8,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",Dwayne Johnson Karen Gillan Kevin Hart Jack Black,Jake Kasdan,en,unknown
9,Good Time,"Crime, Drama, Thriller","After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",Josh Safdie Robert Pattinson Benny Safdie Jennifer Jason Leigh Buddy Duress,Benny Safdie,en,unknown
