title,overview,genre_list,crew_list,cast_list,original_language,comp_list,comb
Downsizing,"A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",Drama Science Fiction ,Alexander Payne,Matt Damon Christoph Waltz Hong Chau Kristen Wiig,en,unknown,Drama Science Fiction Matt Damon Christoph Waltz Hong Chau Kristen WiigAlexander Payneen
Daddy's Home 2,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",Comedy ,Sean Anders,Will Ferrell Mark Wahlberg Mel Gibson John Lithgow,en,unknown,Comedy Will Ferrell Mark Wahlberg Mel Gibson John LithgowSean Andersen
The Emoji Movie,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",Animation Adventure Comedy ,Tony Leondis,T.J. Miller James Corden Anna Faris Maya Rudolph,en,unknown,Animation Adventure Comedy T.J. Miller James Corden Anna Faris Maya RudolphTony Leondisen
9/11,"Five people find themselves trapped in an elevator during the September 11 attacks. They soon work together, never giving up hope, to try to escape before the unthinkable happens.",Action Horror Thriller ,Martin Guigui,Charlie Sheen Gina Gershon Whoopi Goldberg Luis Guzmán,en,unknown,Action Horror Thriller Charlie Sheen Gina Gershon Whoopi Goldberg Luis GuzmánMartin Guiguien
2:22,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",Drama Mystery Science Fiction ,Paul Currie,Michiel Huisman Teresa Palmer Sam Reid John Waters,en,unknown,Drama Mystery Science Fiction Michiel Huisman Teresa Palmer Sam Reid John WatersPaul Currieen
The Discovery,"Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.",Drama Romance Science Fiction ,Charlie McDowell,Robert Redford Mary Steenburgen Brian McCarthy Jason Segel,en,unknown,Drama Romance Science Fiction Robert Redford Mary Steenburgen Brian McCarthy Jason SegelCharlie McDowellen
Paddington 2,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",Adventure Comedy Family ,Paul King,Ben Whishaw Hugh Grant Hugh Bonneville Sally Hawkins,en,unknown,Adventure Comedy Family Ben Whishaw Hugh Grant Hugh Bonneville Sally HawkinsPaul Kingen
Ingrid Goes West,An unhinged social media stalker moves to LA and insinuates herself into the life of an Instagram star.,Comedy Drama ,Matt Spicer,Aubrey Plaza Elizabeth Olsen O'Shea Jackson Jr. Wyatt Russell,en,unknown,Comedy Drama Aubrey Plaza Elizabeth Olsen O'Shea Jackson Jr. Wyatt RussellMatt Spiceren
Chips,"A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops.",Action Comedy Crime ,Dax Shepard,Michael Peña Dax Shepard Vincent D'Onofrio Rosa Salazar,en,unknown,Action Comedy Crime Michael Peña Dax Shepard Vincent D'Onofrio Rosa SalazarDax Sheparden
47 Meters Down,"Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.",Adventure Drama Horror ,Johannes Roberts,Mandy Moore Claire Holt Matthew Modine Chris Johnson,en,unknown,Adventure Drama Horror Mandy Moore Claire Holt Matthew Modine Chris JohnsonJohannes Robertsen
Rough Night,Things go terribly wrong for a group of girlfriends who hire a male stripper for a bachelorette party in Miami.,Comedy Crime Thriller ,Lucia Aniello,Scarlett Johansson Kate McKinnon Zoë Kravitz Ilana Glazer,en,unknown,Comedy Crime Thriller Scarlett Johansson Kate McKinnon Zoë Kravitz Ilana GlazerLucia Anielloen
All Eyez on Me,"Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",Biography Drama Music ,Benny Boom,Demetrius Shipp Jr. Danai Gurira Kat Graham Annie Ilonzeh,en,unknown,Biography Drama Music Demetrius Shipp Jr. Danai Gurira Kat Graham Annie IlonzehBenny Boomen
Girls Trip,"When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling and romancing to make the Big Easy blush.",Adventure Comedy Drama ,Malcolm D. Lee,Regina Hall Queen Latifah Jada Pinkett Smith Tiffany Haddish,en,unknown,Adventure Comedy Drama Regina Hall Queen Latifah Jada Pinkett Smith Tiffany HaddishMalcolm D. Leeen
Once Upon a Time in Venice,A Los Angeles detective seeks out the ruthless gang that stole his dog.,Action Comedy ,Mark Cullen,Bruce Willis John Goodman Jason Momoa Emily Robinson,en,unknown,Action Comedy Bruce Willis John Goodman Jason Momoa Emily RobinsonMark Cullenen
Smurfs: The Lost Village,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy, and Hefty on an exciting race through the Forbidden Forest, leading to the discovery of the biggest secret in Smurf history.",Animation Adventure Comedy ,Kelly Asbury,Demi Lovato Rainn Wilson Joe Manganiello Jack McBrayer,en,unknown,Animation Adventure Comedy Demi Lovato Rainn Wilson Joe Manganiello Jack McBrayerKelly Asburyen
A Bad Moms Christmas,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",Comedy ,Jon Lucas,Scott Moore Mila Kunis Kristen Bell Kathryn Hahn Jay Hernandez,en,unknown,Comedy Scott Moore Mila Kunis Kristen Bell Kathryn Hahn Jay HernandezJon Lucasen
The Space Between Us,"The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street-smart girl to discover how he came to be.",Drama Romance Science Fiction ,Peter Chelsom,Gary Oldman Asa Butterfield Carla Gugino Britt Robertson,en,unknown,Drama Romance Science Fiction Gary Oldman Asa Butterfield Carla Gugino Britt RobertsonPeter Chelsomen
Going in Style,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",Comedy Crime ,Zach Braff,Michael Caine Alan Arkin Ann-Margret Matt Dillon,en,unknown,Comedy Crime Michael Caine Alan Arkin Ann-Margret Matt DillonZach Braffen
Goodbye Christopher Robin,"The relationship between writer AA Milne and his son, Christopher Robin, and how this became the inspiration for Winnie the Pooh.",Biography Drama ,Simon Curtis,Domhnall Gleeson Margot Robbie Kelly Macdonald Vicki Pepperdine,en,unknown,Biography Drama Domhnall Gleeson Margot Robbie Kelly Macdonald Vicki PepperdineSimon Curtisen
I Kill Giants,Barbara Thorson struggles through life by escaping into a fantasy life of magic and monsters.,Drama Fantasy Thriller ,Anders Walter,Madison Wolfe Zoe Saldana Imogen Poots Sydney Wade,en,unknown,Drama Fantasy Thriller Madison Wolfe Zoe Saldana Imogen Poots Sydney WadeAnders Walteren
Unforgettable,A woman sets out to make life a living hell for her ex-husband's new fiancée.,Drama Thriller ,Denise Di Novi,Rosario Dawson Katherine Heigl Geoff Stults Isabella Kai,en,unknown,Drama Thriller Rosario Dawson Katherine Heigl Geoff Stults Isabella KaiDenise Di Novien
Snatched,"When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results.",Action Adventure Comedy ,Jonathan Levine,Amy Schumer Goldie Hawn Kim Caramele Raven Goodwin,en,unknown,Action Adventure Comedy Amy Schumer Goldie Hawn Kim Caramele Raven GoodwinJonathan Levineen
The Lego Ninjago Movie,"Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",Animation Action Adventure ,Charlie Bean,Paul Fisher Bob Logan Jackie Chan Dave Franco Fred Armisen Kumail Nanjiani,en,unknown,Animation Action Adventure Paul Fisher Bob Logan Jackie Chan Dave Franco Fred Armisen Kumail NanjianiCharlie Beanen
Last Flag Flying,"Thirty years after they served together in Vietnam, a former Navy Corpsman Larry ""Doc"" Shepherd re-unites with his old buddies, former Marines Sal Nealon and Reverend Richard Mueller, to bury his son, a young Marine killed in the Iraq War.",Comedy Drama War ,Richard Linklater,Bryan Cranston Laurence Fishburne Steve Carell J. Quinton Johnson,en,unknown,Comedy Drama War Bryan Cranston Laurence Fishburne Steve Carell J. Quinton JohnsonRichard Linklateren
Rings,A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,Drama Horror Mystery ,F. Javier Gutiérrez,Matilda Anna Ingrid Lutz Alex Roe Johnny Galecki Vincent D'Onofrio,en,unknown,Drama Horror Mystery Matilda Anna Ingrid Lutz Alex Roe Johnny Galecki Vincent D'OnofrioF. Javier Gutiérrezen
Fist Fight,"When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight.",Comedy ,Richie Keen,Ice Cube Charlie Day Tracy Morgan Christina Hendricks,en,unknown,Comedy Ice Cube Charlie Day Tracy Morgan Christina HendricksRichie Keenen
Megan Leavey,Based on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.,Biography Drama War ,Gabriela Cowperthwaite,Kate Mara Ramon Rodriguez Tom Felton Bradley Whitford,en,unknown,Biography Drama War Kate Mara Ramon Rodriguez Tom Felton Bradley WhitfordGabriela Cowperthwaiteen
Father Figures,"Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him.",Comedy Drama ,Lawrence Sher,Owen Wilson Ed Helms Glenn Close Robert Jon Mello,en,unknown,Comedy Drama Owen Wilson Ed Helms Glenn Close Robert Jon MelloLawrence Sheren
Bullet Head,Three career criminals find themselves trapped in a warehouse with the law closing in and an even worse threat waiting inside - a nigh unstoppable killer dog.,Crime Drama Thriller ,Paul Solet,Adrien Brody Antonio Banderas John Malkovich Rory Culkin,en,unknown,Crime Drama Thriller Adrien Brody Antonio Banderas John Malkovich Rory CulkinPaul Soleten
Rememory,"Gordon invents the Rememory machine that allows him to see memories as they actually were. He dies in his office. Is it murder? Sam investigates by using the machine ""borrowed"" from Gordon's wife. He looks at memories of others involved.",Drama Mystery Science Fiction ,Mark Palansky,Peter Dinklage Matt Ellis Jordana Largy Martin Donovan,en,unknown,Drama Mystery Science Fiction Peter Dinklage Matt Ellis Jordana Largy Martin DonovanMark Palanskyen
The Vault,Two estranged sisters are forced to rob a bank in order to save their brother. But this is no ordinary bank.,Crime Horror Mystery ,Dan Bush,James Franco Scott Haze Taryn Manning Francesca Eastwood,en,unknown,Crime Horror Mystery James Franco Scott Haze Taryn Manning Francesca EastwoodDan Bushen
November Criminals,"After his friend is murdered, a Washington, D.C. teenager undertakes his own investigation of the crime.",Crime Drama Mystery ,Sacha Gervasi,Ansel Elgort Chloë Grace Moretz David Strathairn Catherine Keener,en,unknown,Crime Drama Mystery Ansel Elgort Chloë Grace Moretz David Strathairn Catherine KeenerSacha Gervasien
Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Action Adventure Comedy ,Ryan Coogler,Chadwick Boseman Michael B. Jordan Lupita Nyong'o Danai Gurira,en,unknown,Action Adventure Comedy Chadwick Boseman Michael B. Jordan Lupita Nyong'o Danai GuriraRyan Coogleren
Deadpool 2,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",Action Drama Mystery ,David Leitch,Ryan Reynolds Josh Brolin Morena Baccarin Julian Dennison,en,unknown,Action Drama Mystery Ryan Reynolds Josh Brolin Morena Baccarin Julian DennisonDavid Leitchen
Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Action Drama History ,Anthony Russo,Joe Russo Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans,en,unknown,Action Drama History Joe Russo Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris EvansAnthony Russoen
Hereditary,A grieving family is haunted by tragic and disturbing occurrences.,Action Adventure Comedy ,Ari Aster,Toni Collette Milly Shapiro Gabriel Byrne Alex Wolff,en,unknown,Action Adventure Comedy Toni Collette Milly Shapiro Gabriel Byrne Alex WolffAri Asteren
A Star Is Born,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Horror ,Bradley Cooper,Lady Gaga Bradley Cooper Sam Elliott Greg Grunberg,en,unknown,Horror Lady Gaga Bradley Cooper Sam Elliott Greg GrunbergBradley Cooperen
Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Family Fantasy Musical ,Ruben Fleischer,Tom Hardy Michelle Williams Riz Ahmed Scott Haze,en,unknown,Family Fantasy Musical Tom Hardy Michelle Williams Riz Ahmed Scott HazeRuben Fleischeren
Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Action Adventure Fantasy ,Bryan Singer,Rami Malek Lucy Boynton Gwilym Lee Ben Hardy,en,unknown,Action Adventure Fantasy Rami Malek Lucy Boynton Gwilym Lee Ben HardyBryan Singeren
Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Horror Mystery Thriller ,Bob Persichetti,Peter Ramsey Rodney Rothman Shameik Moore Jake Johnson Hailee Steinfeld Mahershala Ali,en,unknown,Horror Mystery Thriller Peter Ramsey Rodney Rothman Shameik Moore Jake Johnson Hailee Steinfeld Mahershala AliBob Persichettien
The Lie,"A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.",Action Adventure Comedy ,Veena Sud,Peter Sarsgaard Joey King Cas Anvar Dani Kind,en,unknown,Action Adventure Comedy Peter Sarsgaard Joey King Cas Anvar Dani KindVeena Suden
Ready Player One,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",Crime Drama Thriller ,Steven Spielberg,Tye Sheridan Olivia Cooke Ben Mendelsohn Lena Waithe,en,unknown,Crime Drama Thriller Tye Sheridan Olivia Cooke Ben Mendelsohn Lena WaitheSteven Spielbergen
Adrift,"A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",Action Adventure Science Fiction ,Baltasar Kormákur,Shailene Woodley Sam Claflin Jeffrey Thomas Elizabeth Hawthorne,en,unknown,Action Adventure Science Fiction Shailene Woodley Sam Claflin Jeffrey Thomas Elizabeth HawthorneBaltasar Kormákuren
Fantastic Beasts: The Crimes of Grindelwald,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",Action Adventure Comedy ,David Yates,Eddie Redmayne Katherine Waterston Dan Fogler Johnny Depp,en,unknown,Action Adventure Comedy Eddie Redmayne Katherine Waterston Dan Fogler Johnny DeppDavid Yatesen
A Simple Favor,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",Biography Crime Drama ,Paul Feig,Anna Kendrick Blake Lively Henry Golding Andrew Rannells,en,unknown,Biography Crime Drama Anna Kendrick Blake Lively Henry Golding Andrew RannellsPaul Feigen
A Quiet Place,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",Action Crime Music ,John Krasinski,Emily Blunt John Krasinski Millicent Simmonds Noah Jupe,en,unknown,Action Crime Music Emily Blunt John Krasinski Millicent Simmonds Noah JupeJohn Krasinskien
Mamma Mia! Here We Go Again,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",Action Adventure Biography ,Ol Parker,Lily James Amanda Seyfried Meryl Streep Cher,en,unknown,Action Adventure Biography Lily James Amanda Seyfried Meryl Streep CherOl Parkeren
Solo: A Star Wars Story,"During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",Action Adventure Fantasy ,Ron Howard,Alden Ehrenreich Woody Harrelson Emilia Clarke Donald Glover,en,unknown,Action Adventure Fantasy Alden Ehrenreich Woody Harrelson Emilia Clarke Donald GloverRon Howarden
Suspiria,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",Comedy Crime Drama ,Luca Guadagnino,Chloë Grace Moretz Tilda Swinton Doris Hick Malgorzata Bela,en,unknown,Comedy Crime Drama Chloë Grace Moretz Tilda Swinton Doris Hick Malgorzata BelaLuca Guadagninoen
Ocean's 8,Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,Action Drama Science Fiction ,Gary Ross,Sandra Bullock Cate Blanchett Anne Hathaway Mindy Kaling,en,unknown,Action Drama Science Fiction Sandra Bullock Cate Blanchett Anne Hathaway Mindy KalingGary Rossen
Jurassic World: Fallen Kingdom,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",Action Adventure Fantasy ,J.A. Bayona,Chris Pratt Bryce Dallas Howard Rafe Spall Justice Smith,en,unknown,Action Adventure Fantasy Chris Pratt Bryce Dallas Howard Rafe Spall Justice SmithJ.A. Bayonaen
Fifty Shades Freed,"Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",Action Adventure Fantasy ,James Foley,Dakota Johnson Jamie Dornan Eric Johnson Eloise Mumford,en,unknown,Action Adventure Fantasy Dakota Johnson Jamie Dornan Eric Johnson Eloise MumfordJames Foleyen
Tomb Raider,"Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",Horror Science Fiction Thriller ,Roar Uthaug,Alicia Vikander Dominic West Walton Goggins Daniel Wu,en,unknown,Horror Science Fiction Thriller Alicia Vikander Dominic West Walton Goggins Daniel WuRoar Uthaugen
Robin Hood,A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,Animation Adventure Family ,Otto Bathurst,Taron Egerton Jamie Foxx Ben Mendelsohn Eve Hewson,en,unknown,Animation Adventure Family Taron Egerton Jamie Foxx Ben Mendelsohn Eve HewsonOtto Bathursten
The Meg,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,Biography Crime Drama ,Jon Turteltaub,Jason Statham Bingbing Li Rainn Wilson Cliff Curtis,en,unknown,Biography Crime Drama Jason Statham Bingbing Li Rainn Wilson Cliff CurtisJon Turteltauben
Beautiful Boy,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",Action Comedy Crime ,Felix van Groeningen,Steve Carell Maura Tierney Jack Dylan Grazer Oakley Bull,en,unknown,Action Comedy Crime Steve Carell Maura Tierney Jack Dylan Grazer Oakley BullFelix van Groeningenen
Game Night,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,Biography Crime Drama ,John Francis Daley,Jonathan Goldstein Jason Bateman Rachel McAdams Kyle Chandler Sharon Horgan,en,unknown,Biography Crime Drama Jonathan Goldstein Jason Bateman Rachel McAdams Kyle Chandler Sharon HorganJohn Francis Daleyen
The House That Jack Built,"The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.",Action Adventure Fantasy ,Lars von Trier,Matt Dillon Bruno Ganz Uma Thurman Siobhan Fallon Hogan,en,unknown,Action Adventure Fantasy Matt Dillon Bruno Ganz Uma Thurman Siobhan Fallon HoganLars von Trieren
Halloween,"Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",Comedy Music ,David Gordon Green,Jamie Lee Curtis Judy Greer Andi Matichak James Jude Courtney,en,unknown,Comedy Music Jamie Lee Curtis Judy Greer Andi Matichak James Jude CourtneyDavid Gordon Greenen
Ant-Man and the Wasp,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",Drama Horror Mystery ,Peyton Reed,Paul Rudd Evangeline Lilly Michael Peña Walton Goggins,en,unknown,Drama Horror Mystery Paul Rudd Evangeline Lilly Michael Peña Walton GogginsPeyton Reeden
Mid90s,"Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",Action Adventure Fantasy ,Jonah Hill,Sunny Suljic Katherine Waterston Lucas Hedges Na-kel Smith,en,unknown,Action Adventure Fantasy Sunny Suljic Katherine Waterston Lucas Hedges Na-kel SmithJonah Hillen
Searching,"After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her.",Action Adventure Crime ,Aneesh Chaganty,John Cho Debra Messing Joseph Lee Michelle La,en,unknown,Action Adventure Crime John Cho Debra Messing Joseph Lee Michelle LaAneesh Chagantyen
Summer of 84,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.",Action Adventure Fantasy ,François Simard,Anouk Whissell Yoann-Karl Whissell Graham Verchere Judah Lewis Caleb Emery Cory Gruter-Andrew,en,unknown,Action Adventure Fantasy Anouk Whissell Yoann-Karl Whissell Graham Verchere Judah Lewis Caleb Emery Cory Gruter-AndrewFrançois Simarden
Blockers,Three parents try to stop their daughters from losing their virginity on prom night.,Action Adventure Science Fiction ,Kay Cannon,Leslie Mann John Cena Ike Barinholtz Kathryn Newton,en,unknown,Action Adventure Science Fiction Leslie Mann John Cena Ike Barinholtz Kathryn NewtonKay Cannonen
Acts of Violence,"At a bachelorette party in a nightclub, the bride tells 2 guys offering blow to go away. They abduct her. The groom's 2 big brothers looked after their kid brother as kids and do so now again as veterans, ""looking"" for her and the 2 guys.",Action Adventure Fantasy ,Brett Donowho,Bruce Willis Cole Hauser Shawn Ashmore Ashton Holmes,en,unknown,Action Adventure Fantasy Bruce Willis Cole Hauser Shawn Ashmore Ashton HolmesBrett Donowhoen
Boy Erased,The son of a Baptist preacher unwillingly participates in a church-supported gay conversion program after being forcibly outed to his parents.,Horror Science Fiction Thriller ,Joel Edgerton,Lucas Hedges Nicole Kidman Joel Edgerton Russell Crowe,en,unknown,Horror Science Fiction Thriller Lucas Hedges Nicole Kidman Joel Edgerton Russell CroweJoel Edgertonen
Under the Silver Lake,"Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",Action Crime Thriller ,David Robert Mitchell,Andrew Garfield Riley Keough Topher Grace Callie Hernandez,en,unknown,Action Crime Thriller Andrew Garfield Riley Keough Topher Grace Callie HernandezDavid Robert Mitchellen
To All the Boys I've Loved Before,A teenage girl's secret love letters are exposed and wreak havoc on her love life.,Biography Comedy Drama ,Susan Johnson,Lana Condor Noah Centineo Janel Parrish Anna Cathcart,en,unknown,Biography Comedy Drama Lana Condor Noah Centineo Janel Parrish Anna CathcartSusan Johnsonen
Maze Runner: The Death Cure,"Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",Drama Romance ,Wes Ball,Dylan O'Brien Ki Hong Lee Kaya Scodelario Thomas Brodie-Sangster,en,unknown,Drama Romance Dylan O'Brien Ki Hong Lee Kaya Scodelario Thomas Brodie-SangsterWes Ballen
"Love, Simon","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",Crime Drama Mystery ,Greg Berlanti,Nick Robinson Jennifer Garner Josh Duhamel Katherine Langford,en,unknown,Crime Drama Mystery Nick Robinson Jennifer Garner Josh Duhamel Katherine LangfordGreg Berlantien
Truth or Dare,A harmless game of Truth or Dare among friends turns deadly when someone - or something - begins to punish those who tell a lie or refuse the dare.,Action Adventure Science Fiction ,Jeff Wadlow,Lucy Hale Tyler Posey Violett Beane Hayden Szeto,en,unknown,Action Adventure Science Fiction Lucy Hale Tyler Posey Violett Beane Hayden SzetoJeff Wadlowen
Unfriended: Dark Web,"A teen comes into possession of a new laptop and soon discovers that the previous owner is not only watching him, but will also do anything to get it back.",Action Adventure Drama ,Stephen Susco,Colin Woodell Stephanie Nogueras Betty Gabriel Rebecca Rittenhouse,en,unknown,Action Adventure Drama Colin Woodell Stephanie Nogueras Betty Gabriel Rebecca RittenhouseStephen Suscoen
Ophelia,"A re-imagining of Hamlet, told from Ophelia's perspective.",Biography Comedy Drama ,Claire McCarthy,Daisy Ridley Mia Quiney Calum O'Rourke Nathaniel Parker,en,unknown,Biography Comedy Drama Daisy Ridley Mia Quiney Calum O'Rourke Nathaniel ParkerClaire McCarthyen
The Hate U Give,"Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.",Action Science Fiction Thriller ,George Tillman Jr.,Amandla Stenberg Regina Hall Russell Hornsby Anthony Mackie,en,unknown,Action Science Fiction Thriller Amandla Stenberg Regina Hall Russell Hornsby Anthony MackieGeorge Tillman Jr.en
The Perfection,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",Horror Mystery Thriller ,Richard Shepard,Allison Williams Alaina Huffman Steven Weber Logan Browning,en,unknown,Horror Mystery Thriller Allison Williams Alaina Huffman Steven Weber Logan BrowningRichard Sheparden
Life Itself,"As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.",Action Thriller ,Dan Fogelman,Oscar Isaac Olivia Wilde Annette Bening Mandy Patinkin,en,unknown,Action Thriller Oscar Isaac Olivia Wilde Annette Bening Mandy PatinkinDan Fogelmanen
If Beale Street Could Talk,A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.,Drama Science Fiction Thriller ,Barry Jenkins,KiKi Layne Stephan James Regina King Teyonah Parris,en,unknown,Drama Science Fiction Thriller KiKi Layne Stephan James Regina King Teyonah ParrisBarry Jenkinsen
The Commuter,An action-thriller in which an insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.,Action Thriller ,Jaume Collet-Serra,Liam Neeson Vera Farmiga Patrick Wilson Jonathan Banks,en,unknown,Action Thriller Liam Neeson Vera Farmiga Patrick Wilson Jonathan BanksJaume Collet-Serraen
Set It Up,Two corporate executive assistants hatch a plan to match-make their two bosses.,Action Crime Drama ,Claire Scanlon,Zoey Deutch Glen Powell Lucy Liu Taye Diggs,en,unknown,Action Crime Drama Zoey Deutch Glen Powell Lucy Liu Taye DiggsClaire Scanlonen
Greta,A young woman befriends a lonely widow who's harboring a dark and deadly agenda toward her.,Action Fantasy Thriller ,Neil Jordan,Isabelle Huppert Chloë Grace Moretz Maika Monroe Jane Perry,en,unknown,Action Fantasy Thriller Isabelle Huppert Chloë Grace Moretz Maika Monroe Jane PerryNeil Jordanen
How It Ends,A desperate man tries to return home to his pregnant fiancée after a mysterious apocalyptic event turns everything to chaos.,Horror Mystery Thriller ,David M. Rosenthal,Theo James Kat Graham Nancy Sorel Nicole Ari Parker,en,unknown,Horror Mystery Thriller Theo James Kat Graham Nancy Sorel Nicole Ari ParkerDavid M. Rosenthalen
Billionaire Boys Club,A group of wealthy boys in Los Angeles during the early 1980s establish a 'get-rich-quick' scam that turns deadly.,Action Thriller ,James Cox,Ansel Elgort Kevin Spacey Taron Egerton Emma Roberts,en,unknown,Action Thriller Ansel Elgort Kevin Spacey Taron Egerton Emma RobertsJames Coxen
