title,overview,genre_list,crew_list,cast_list,original_language,comp_list,comb
Spider-Man: Homecoming,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",Action Adventure Science Fiction ,Jon Watts,Tom Holland Michael Keaton Robert Downey Jr. Marisa Tomei,en,unknown,Action Adventure Science Fiction Tom Holland Michael Keaton Robert Downey Jr. Marisa TomeiJon Wattsen
Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Action Adventure Comedy ,James Gunn,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel,en,unknown,Action Adventure Comedy Chris Pratt Zoe Saldana Dave Bautista Vin DieselJames Gunnen
All the Money in the World,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,Biography Crime Drama ,Ridley Scott,Michelle Williams Christopher Plummer Mark Wahlberg Romain Duris,en,unknown,Biography Crime Drama Michelle Williams Christopher Plummer Mark Wahlberg Romain DurisRidley Scotten
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Action Crime Music ,Edgar Wright,Ansel Elgort Jon Bernthal Jon Hamm Eiza González,en,unknown,Action Crime Music Ansel Elgort Jon Bernthal Jon Hamm Eiza GonzálezEdgar Wrighten
Jungle,"A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be.",Action Adventure Biography ,Greg McLean,Daniel Radcliffe Thomas Kretschmann Joel Jackson Yasmin Kassim,en,unknown,Action Adventure Biography Daniel Radcliffe Thomas Kretschmann Joel Jackson Yasmin KassimGreg McLeanen
Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Action Adventure Fantasy ,Patty Jenkins,Gal Gadot Chris Pine Robin Wright Lucy Davis,en,unknown,Action Adventure Fantasy Gal Gadot Chris Pine Robin Wright Lucy DavisPatty Jenkinsen
Logan Lucky,Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,Comedy Crime Drama ,Steven Soderbergh,Channing Tatum Adam Driver Daniel Craig Farrah Mackenzie,en,unknown,Comedy Crime Drama Channing Tatum Adam Driver Daniel Craig Farrah MackenzieSteven Soderberghen
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Action Drama Science Fiction ,James Mangold,Hugh Jackman Patrick Stewart Dafne Keen Boyd Holbrook,en,unknown,Action Drama Science Fiction Hugh Jackman Patrick Stewart Dafne Keen Boyd HolbrookJames Mangolden
Valerian and the City of a Thousand Planets,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",Action Adventure Fantasy ,Luc Besson,Dane DeHaan Cara Delevingne Clive Owen Rihanna,en,unknown,Action Adventure Fantasy Dane DeHaan Cara Delevingne Clive Owen RihannaLuc Bessonen
Pirates of the Caribbean: Dead Men Tell No Tales,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,Action Adventure Fantasy ,Joachim Rønning,Espen Sandberg Johnny Depp Geoffrey Rush Javier Bardem Orlando Bloom,en,unknown,Action Adventure Fantasy Espen Sandberg Johnny Depp Geoffrey Rush Javier Bardem Orlando BloomJoachim Rønningen
Alien: Covenant,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",Horror Science Fiction Thriller ,Ridley Scott,Michael Fassbender Katherine Waterston Billy Crudup Danny McBride,en,unknown,Horror Science Fiction Thriller Michael Fassbender Katherine Waterston Billy Crudup Danny McBrideRidley Scotten
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Animation Adventure Family ,Lee Unkrich,Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt Alanna Ubach,en,unknown,Animation Adventure Family Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt Alanna UbachLee Unkrichen
Molly's Game,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",Biography Crime Drama ,Aaron Sorkin,Jessica Chastain Idris Elba Kevin Costner Michael Cera,en,unknown,Biography Crime Drama Jessica Chastain Idris Elba Kevin Costner Michael CeraAaron Sorkinen
Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Action Comedy Crime ,Seth Gordon,Dwayne Johnson Zac Efron Alexandra Daddario Priyanka Chopra,en,unknown,Action Comedy Crime Dwayne Johnson Zac Efron Alexandra Daddario Priyanka ChopraSeth Gordonen
Marshall,"The story of Thurgood Marshall, the crusading lawyer who would become the first African-American Supreme Court Justice, as he battles through one of his career-defining cases.",Biography Crime Drama ,Reginald Hudlin,Chadwick Boseman Josh Gad Kate Hudson Sterling K. Brown,en,unknown,Biography Crime Drama Chadwick Boseman Josh Gad Kate Hudson Sterling K. BrownReginald Hudlinen
Star Wars: Episode VIII - The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",Action Adventure Fantasy ,Rian Johnson,Daisy Ridley John Boyega Mark Hamill Carrie Fisher,en,unknown,Action Adventure Fantasy Daisy Ridley John Boyega Mark Hamill Carrie FisherRian Johnsonen
Pitch Perfect 3,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.",Comedy Music ,Trish Sie,Anna Kendrick Rebel Wilson Brittany Snow Anna Camp,en,unknown,Comedy Music Anna Kendrick Rebel Wilson Brittany Snow Anna CampTrish Sieen
Mother!,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",Drama Horror Mystery ,Darren Aronofsky,Jennifer Lawrence Javier Bardem Ed Harris Michelle Pfeiffer,en,unknown,Drama Horror Mystery Jennifer Lawrence Javier Bardem Ed Harris Michelle PfeifferDarren Aronofskyen
