,title,genre,overview,cast,director,lang,comp
28,Gemini Man,"Action, Drama, Sci-Fi",An over-the-hill hitman faces off against a younger clone of himself.,Will Smith Mary Elizabeth Winstead Clive Owen Benedict Wong,Ang Lee,en,unknown
29,X-Men: Dark Phoenix,"Action, Adventure, Sci-Fi","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult,Simon Kinberg,en,unknown
30,Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Thriller","Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",Dwayne Johnson Jason Statham Idris Elba Vanessa Kirby,David Leitch,en,unknown
31,Zombieland: Double Tap,"Action, Adventure, Comedy","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",Woody Harrelson Jesse Eisenberg Emma Stone Abigail Breslin,Ruben Fleischer,en,unknown
32,Toy Story 4,"Animation, Adventure, Comedy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Tom Hanks Tim Allen Annie Potts Tony Hale,Josh Cooley,en,unknown
33,Shazam!,"Action, Adventure, Comedy",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,Zachary Levi Mark Strong Asher Angel Jack Dylan Grazer,David F. Sandberg,en,unknown
34,Anna,"Action, Thriller",Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,Sasha Luss Helen Mirren Luke Evans Cillian Murphy,Luc Besson,en,unknown
35,John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller","John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",Keanu Reeves Halle Berry Ian McShane Laurence Fishburne,Chad Stahelski,en,unknown
36,The Good Liar,"Crime, Drama, Mystery","Consummate con man Roy Courtnay has set his sights on his latest mark: the recently widowed Betty McLeish, worth millions. But this time, what should have been a simple swindle escalates into a cat-and-mouse game with the ultimate stakes.",Helen Mirren Ian McKellen Russell Tovey Jim Carter,Bill Condon,en,unknown
37,Cats,"Comedy, Drama, Family",A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,James Corden Judi Dench Jason Derulo Idris Elba,Tom Hooper,en,unknown
38,Maleficent: Mistress of Evil,"Adventure, Family, Fantasy","Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies and dark new forces at play.",Angelina Jolie Elle Fanning Harris Dickinson Michelle Pfeiffer,Joachim Rønning,en,unknown
39,El Camino: A Breaking Bad Movie,"Action, Crime, Drama","Fugitive Jesse Pinkman runs from his captors, the law and his past.",Aaron Paul Jonathan Banks Matt Jones Charles Baker,Vince Gilligan,en,unknown
40,Good Boys,"Adventure, Comedy","Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",Jacob Tremblay Keith L. Williams Brady Noon Molly Gordon,Gene Stupnitsky,en,unknown
41,Glass,"Drama, Sci-Fi, Thriller","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",James McAvoy Bruce Willis Samuel L. Jackson Anya Taylor-Joy,M. Night Shyamalan,en,unknown
42,Godzilla: King of the Monsters,"Action, Adventure, Fantasy","The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",Kyle Chandler Vera Farmiga Millie Bobby Brown Ken Watanabe,Michael Dougherty,en,unknown
43,Angel Has Fallen,"Action, Thriller",Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.,Gerard Butler Frederick Schmidt Danny Huston Rocci Williams,Ric Roman Waugh,en,unknown
44,Rambo: Last Blood,"Action, Thriller",Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.,Sylvester Stallone Paz Vega Sergio Peris-Mencheta Adriana Barraza,Adrian Grunberg,en,unknown
45,How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure","When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",Jay Baruchel America Ferrera F. Murray Abraham Cate Blanchett,Dean DeBlois,en,unknown
46,Men in Black: International,"Action, Adventure, Comedy","The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.",Chris Hemsworth Tessa Thompson Kumail Nanjiani Rebecca Ferguson,F. Gary Gray,en,unknown
47,Last Christmas,"Comedy, Drama, Romance","Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",Madison Ingoldsby Emma Thompson Boris Isakovic Lucy Miller,Paul Feig,en,unknown
48,Fighting with My Family,"Biography, Comedy, Drama",A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,Dwayne Johnson Lena Headey Vince Vaughn Florence Pugh,Stephen Merchant,en,unknown
49,The Kitchen,"Action, Crime, Drama",The wives of New York gangsters in Hell's Kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison.,Melissa McCarthy Tiffany Haddish Elisabeth Moss Domhnall Gleeson,Andrea Berloff,en,unknown
50,Murder Mystery,"Action, Comedy, Crime","A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",Adam Sandler Jennifer Aniston Luke Evans Terence Stamp,Kyle Newacheck,en,unknown
51,Triple Frontier,"Action, Adventure, Crime","Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.",Ben Affleck Oscar Isaac Charlie Hunnam Garrett Hedlund,J.C. Chandor,en,unknown
52,Serenity,"Drama, Mystery, Thriller",A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.,Matthew McConaughey Anne Hathaway Diane Lane Jason Clarke,Steven Knight,en,unknown
53,Operation Brothers,"Drama, History, Thriller",Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,Mbulelo Grootboom Sizo Mahlangu Michael Kenneth Williams Masasa Mbangeni,Gideon Raff,en,unknown
54,Hellboy,"Action, Adventure, Fantasy","Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",David Harbour Milla Jovovich Ian McShane Sasha Lane,Neil Marshall,en,unknown
55,Lady and the Tramp,"Adventure, Comedy, Drama",The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,Tessa Thompson Justin Theroux Sam Elliott Ashley Jensen,Charlie Bean,en,unknown
56,Crawl,"Action, Drama, Horror","A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",Kaya Scodelario Barry Pepper Morfydd Clark Ross Anderson,Alexandre Aja,en,unknown
57,Long Shot,"Comedy, Romance","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",Charlize Theron Seth Rogen June Diane Raphael O'Shea Jackson Jr.,Jonathan Levine,en,unknown
58,Pet Sematary,"Horror, Mystery, Thriller","Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",Dennis Widmyer Jason Clarke Amy Seimetz John Lithgow Jeté Laurence,Kevin Kölsch,en,unknown
59,The Addams Family,"Animation, Comedy, Family",The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.,Conrad Vernon Oscar Isaac Charlize Theron Chloë Grace Moretz Finn Wolfhard,Greg Tiernan,en,unknown
60,Escape Room,"Action, Adventure, Horror",Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,Taylor Russell Logan Miller Jay Ellis Tyler Labine,Adam Robitel,en,unknown
61,Code 8,"Action, Crime, Drama",A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.,Kari Matchett Robbie Amell Penny Eizenga Lawrence Bayne,Jeff Chan,en,unknown
62,Annabelle Comes Home,"Horror, Mystery, Thriller","While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.",Vera Farmiga Patrick Wilson Mckenna Grace Madison Iseman,Gary Dauberman,en,unknown
63,Pokémon Detective Pikachu,"Action, Adventure, Comedy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",Ryan Reynolds Justice Smith Kathryn Newton Bill Nighy,Rob Letterman,en,unknown
64,Dumbo,"Adventure, Family, Fantasy","A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",Colin Farrell Michael Keaton Danny DeVito Eva Green,Tim Burton,en,unknown
65,Child's Play,"Horror, Sci-Fi","A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.",Tim Matheson Ben Andrusco-Daon Zahra Anderson Serge Jaswal,Lars Klevberg,en,unknown
66,The Secret Life of Pets 2,"Animation, Adventure, Comedy","Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",Jonathan del Val Patton Oswalt Kevin Hart Harrison Ford Eric Stonestreet,Chris Renaud,en,unknown
67,The Hustle,"Comedy, Crime",Two con women - one low rent and the other high class - team up to take down the men who have wronged them.,Anne Hathaway Rebel Wilson Alex Sharp Tim Blake Nelson,Chris Addison,en,unknown
68,Cold Pursuit,"Action, Crime, Drama",A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.,Liam Neeson Laura Dern Micheál Richardson Michael Eklund,Hans Petter Moland,en,unknown
69,Ma,"Horror, Mystery, Thriller","A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.",Octavia Spencer Diana Silvers Juliette Lewis McKaley Miller,Tate Taylor,en,unknown
70,Haunt,"Horror, Thriller","On Halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.",Bryan Woods Katie Stevens Will Brittain Lauryn Alisa McClain Andrew Lewis Caldwell,Scott Beck,en,unknown
71,Velvet Buzzsaw,"Comedy, Horror, Mystery","A satire set in the contemporary art world scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.",Jake Gyllenhaal Rene Russo Zawe Ashton Tom Sturridge,Dan Gilroy,en,unknown
72,Tolkien,"Biography, Drama, Romance","The formative years of the orphaned author J.R.R. Tolkien as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school.",Nicholas Hoult Lily Collins Colm Meaney Derek Jacobi,Dome Karukoski,en,unknown
73,Captive State,"Action, Adventure, Drama","Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents.",John Goodman Ashton Sanders Jonathan Majors Vera Farmiga,Rupert Wyatt,en,unknown
74,Shaft,"Action, Comedy, Crime","JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.",Samuel L. Jackson Jessie T. Usher Richard Roundtree Regina Hall,Tim Story,en,unknown
75,Klaus,"Animation, Adventure, Comedy","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Carlos Martínez López Jason Schwartzman J.K. Simmons Rashida Jones Will Sasso,Sergio Pablos,en,unknown
76,The Lego Movie 2: The Second Part,"Animation, Adventure, Comedy","It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.",Chris Pratt Elizabeth Banks Will Arnett Tiffany Haddish,Mike Mitchell,en,unknown
77,Isn't It Romantic,"Comedy, Fantasy, Romance",A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,Rebel Wilson Liam Hemsworth Adam Devine Priyanka Chopra,Todd Strauss-Schulson,en,unknown
78,Happy Death Day 2U,"Comedy, Horror, Mystery",Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,Jessica Rothe Israel Broussard Phi Vu Suraj Sharma,Christopher Landon,en,unknown
79,47 Meters Down: Uncaged,"Adventure, Drama, Horror",Two sisters diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.,Sophie Nélisse Corinne Foxx Brianne Tju Sistine Rose Stallone,Johannes Roberts,en,unknown
80,The Angry Birds Movie 2,"Animation, Adventure, Comedy",The flightless birds and scheming green pigs take their feud to the next level.,John Rice Jason Sudeikis Josh Gad Leslie Jones Bill Hader,Thurop Van Orman,en,unknown
81,What Men Want,"Comedy, Fantasy, Romance","A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts.",Taraji P. Henson Kristen Ledlow Josh Brener Kellan Lutz,Adam Shankman,en,unknown
82,Point Blank,"Action, Crime, Drama",An ER nurse and a career criminal are forced into an unlikely partnership in taking down a ring of corrupt cops threatening the lives of both their families.,Frank Grillo Stuart F. Wilson Buster Reeves Christian Cooke,Joe Lynch,en,unknown
83,Let It Snow,"Comedy, Romance","In a small town on Christmas Eve, a snowstorm brings together a group of young people.",Isabela Merced Shameik Moore Odeya Rush Liv Hewson,Luke Snellin,en,unknown
84,IO,"Adventure, Drama, Sci-Fi","As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",Margaret Qualley Anthony Mackie Danny Huston Tom Payne,Jonathan Helpert,en,unknown
85,Polaroid,"Drama, Horror, Mystery","High school loner Bird Fitcher has no idea what dark secrets are tied to the Polaroid camera she finds. It doesn't take long to discover that those who have their picture taken with it, soon die.",Kathryn Prescott Tyler Young Samantha Logan Keenan Tracey,Lars Klevberg,en,unknown
86,Close,"Action, Drama, Thriller",A female bodyguard is hired to protect an heiress on the run from assassins.,Noomi Rapace Olivia Jewson Abdellatif Chaouqi Sophie Nélisse,Vicky Jewson,en,unknown
87,Kill Chain,"Action, Thriller",Three strangers' lives are inevitably entangled in a conflict none of them are prepared for.,Nicolas Cage Anabelle Acosta Enrico Colantoni Ryan Kwanten,Ken Sanzel,en,unknown
88,The Hole in the Ground,"Drama, Horror, Mystery","A single mother living in the Irish countryside with her son begins to suspect he may not be her son at all, and fears his increasingly disturbing behavior is linked to a mysterious sinkhole in the forest behind their house.",Seána Kerslake James Quinn Markey Kati Outinen David Crowley,Lee Cronin,en,unknown
89,Noelle,"Comedy, Family, Fantasy","Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",Anna Kendrick Shirley MacLaine Bill Hader Kingsley Ben-Adir,Marc Lawrence,en,unknown
90,A Shaun the Sheep Movie: Farmageddon,"Animation, Adventure, Comedy","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",Richard Phelan Justin Fletcher John Sparkes Amalia Vitale Kate Harbour,Will Becher,en,unknown
91,Pokémon: Mewtwo Strikes Back - Evolution,"Animation, Action, Family","After a scientific experiment leads to the creation of a clone of Mewtwo, he sets out to destroy the world. Ash and his friends then decide to thwart Mewtwo's evil plans.",Tetsuo Yajima Kunihiko Yuyama Sarah Natochenny Michele Knotz Bill Rogers Ikue Ôtani,Motonori Sakakibara,en,unknown
